,0
0,1093449.6773433352
1,1088071.032628515
2,1095068.337057391
3,1094210.8741440817
4,1089306.005610775
5,1095390.7394538645
6,1084520.1373602136
7,1082861.0226264494
8,1081713.7013457848
9,1084567.8394144573
10,1081870.7551165395
11,1087981.5132943671
12,1087881.8339467426
13,1090205.2478352606
14,1091807.5660181313
15,1100536.7344638873
16,1103323.302172806
17,1103217.2870130695
18,1097444.0295981294
19,1093667.93797681
20,1092187.8535894363
21,1088224.5060853055
22,1083131.5693592166
23,1078786.2396879734
24,1076596.5988039111
25,1098326.8152751168
26,1097945.7219258933
27,1115270.0265129174
28,1126590.3831193564
29,1124804.093792322
30,1126657.2423697785
31,1125530.595509468
32,1124823.1678394538
33,1125209.8817304703
34,1124944.7836804998
35,1126443.7288059322
36,1128219.439477138
37,1128986.6119107732
38,1130300.4457013109
39,1128897.6044843402
40,1128444.6169336135
41,1130739.596488173
42,1131442.6533790343
43,1130815.537716187
44,1131203.1829982193
45,1131163.94882598
46,1134386.1384472805
47,1134945.6851031973
48,1137000.9245340126
49,1138040.2516308522
50,1139410.3391810472
51,1135580.2911918573
52,1136732.0295950978
53,1137813.883309633
54,1139882.9168598256
55,1142573.303103113
56,1142571.4763625038
57,1140952.1255122777
58,1139948.1737630814
59,1140083.4266042532
60,1133314.728971573
61,1131759.5653648723
62,1127624.0988103605
