,0
0,1000000.0
1,999471.1188983558
2,1000378.2313029278
3,994838.5007242237
4,993777.6918003992
5,988019.1229548571
6,979962.8465428738
7,978521.2931591445
8,961623.6734160965
9,962043.3120139104
10,968570.4827340865
11,923051.7260645701
12,963539.1491762475
13,956703.2376098979
14,958647.2469711861
15,960189.6467389489
16,976267.8111322038
17,1010182.0430433968
18,978087.3951307993
19,960537.4398483833
20,958768.9734705329
21,974938.9333218259
22,969827.7944901345
23,988625.0898408343
24,1013369.3430430826
25,1018738.1434402387
26,970218.5431342146
27,984761.3679588636
28,985336.2517834025
29,974194.4388870348
30,932105.8732102046
31,934081.1003285066
32,926444.1113803848
33,918880.737022192
34,880282.4417142165
35,922411.894115951
36,902983.727122024
37,893512.0569963694
38,887530.1680981781
39,853656.7467281561
40,845294.2561637529
41,866146.3778676973
42,833657.7604652973
43,830454.548078744
44,813044.2835971686
45,867575.907807985
46,873522.9561977014
47,907907.1045000466
48,917650.8898854647
49,908965.4032048121
50,939424.9575234253
51,959624.0197372031
52,940018.8967589769
53,922996.3616979758
54,992297.5951964409
55,977518.4698205593
56,987229.0198916409
57,1004599.5779356356
58,980538.5433418382
59,949197.3493168781
60,971047.1938232712
61,991408.6604529542
62,1022134.4042604605
63,1038412.8688948815
64,1032292.035553729
65,1012127.2332116656
66,1017924.9533476346
67,1049499.2932270253
68,1057925.3020343499
69,1020403.6647308267
70,1039781.0759050666
71,1047425.3810467976
72,1048932.8596367098
73,1013603.8102779981
74,1035084.7390673613
75,1024982.2550921888
76,1037414.6744025709
77,1046842.5427052199
78,1041132.1434811995
79,1047044.4634465682
80,1074273.8319234375
81,1081441.8829964278
82,1079697.4890334823
83,1109261.2573362621
84,1106606.8265738778
85,1108694.6685115157
86,1097089.1167416677
87,1125913.7012102022
88,1109122.5394319578
89,1112045.7487736372
90,1081779.4286553357
91,1096166.476533779
92,1089739.1876247078
93,1126531.1268349492
94,1119800.9322535666
95,1110250.2570717619
96,1099253.1748810236
97,1097589.4136910222
98,1127266.5757847682
99,1107479.3592175576
100,1123725.6276691544
101,1137768.9102083421
102,1157546.5489045174
103,1163578.5410378696
104,1154331.6697001483
105,1169792.9407426189
106,1169427.8253038093
107,1163992.9248594365
108,1171141.5431489525
109,1163188.7790199916
110,1159026.6775261227
111,1158999.3160673282
112,1137789.155711077
113,1129338.7290282624
114,1123814.439215257
115,1133025.6301428382
116,1131159.7689036666
117,1100586.3574574965
118,1104835.3497299466
119,1106171.9138040163
120,1126909.918298842
121,1127686.6085445408
122,1137891.8625746532
123,1129861.460392663
124,1133829.7926584082
125,1103270.3549805577
126,1113290.783612985
127,1091888.7171384862
128,1087352.2816372372
129,1094797.2466079197
130,1088743.228069868
131,1118120.3691330408
132,1119673.5452549593
133,1156389.119824145
134,1170119.97432326
135,1179909.0536242744
136,1197794.0332578833
137,1205978.4279616545
138,1207884.991343379
139,1234209.5885399042
140,1237066.302711901
141,1235706.3685583079
142,1231118.5998811466
